제목,월세,소재지,매물특징,계약/전용면적,해당층/총층,입주가능일,권리금,현재업종,추천업종,준공인가일,매물번호,위도,경도
일반상가1층,"월세3,000/200",광주시 서구 금호동,l 무권리 l 코너자리 l 소매점 판매점 테이크아웃 적합 l 노출최상,49㎡/49㎡(전용률100%),1/6층,즉시입주,,-,이동통신 대리점 판매점 소매점 샌드위치 테이크아웃 액세서리 다용도점포,,2519620479,35.12341548609534,126.85568099783912
일반상가4층,"월세2,000/120",광주시 서구 금호동,l 최多매물 l 대단지아파트 대로변 4층 l 모든업종가능 l,179.11㎡/179.11㎡(전용률100%),4/6층,즉시입주 협의가능,없음,-,-,,2519798775,35.12341548609534,126.85568099783912
일반상가1층,"월세2,000/120",광주시 서구 금호동,l 무권리 l 대로변 1층 상가 l 네일샾 l 미용실 l 커피숍 추천,66㎡/50㎡(전용률76%),1/6층,즉시입주 협의가능,없음,-,-,,2519800622,35.12341548609534,126.85568099783912
대형사무실3층,"월세3,000/100",광주시 서구 금호동,학원승계가능 강의실5개 남녀화장실 서구문화센터근접 모든업종가 즉시입주,233.77㎡/233㎡(전용률100%),3/5층,즉시입주,,,,,2518987113,35.12341548609534,126.85568099783912
일반상가1층,"월세1,000/60",광주시 서구 금호동,l 무권리 l 다용도점포 l 순환도로 인접 l 교통편리 l 노출좋음,30㎡/30㎡(전용률100%),1/3층,즉시입주,,-,의류 잡화 뷰티샵 사무실 애견미용 무인판매 전자담배 다용도점포,,2518070961,35.12341548609534,126.85568099783912
일반상가6층,"월세3,000/160",광주시 서구 금호동,"모든업종가능, 코너빌딩, 주변대단지, 접근성, 전면넓음, 추천매물",353.08㎡/201.6㎡(전용률57%),6/6층,즉시입주,,-,-,,2518190324,35.12341548609534,126.85568099783912
중소형사무실1층,"월세1,000/130",광주시 서구 금호동,l 사진有 l 룸분리 구조 l 순환도로인접 l 내부넓음 l 주차편리,115.92㎡/115.92㎡(전용률100%),1/3층,즉시입주,,,,,2519620491,35.12341548609534,126.85568099783912
일반상가1층,"월세1,000/70",광주시 서구 금호동,l 무권리 l 사무실 소매점 무인매장 적합 l 학교앞원룸촌 l 도로변,36㎡/36㎡(전용률100%),1/6층,즉시입주,,-,부동산 소매점 분식 카페 무인매장 뷰티샵 패스트푸드 음식점 다용도점포,,2518070822,35.12341548609534,126.85568099783912
일반상가1층,"월세2,000/80",광주시 서구 금호동,l 무권리 l 다용도점포 l 순환도로 인접 l 교통편리 l 노출좋음,49㎡/49㎡(전용률100%),1/3층,즉시입주,,-,전자담배 의류 잡화 꽃집 전당포 뷰티샵 애견미용 공방,,2518070602,35.12341548609534,126.85568099783912
일반상가1층,"월세5,000/285",광주시 서구 금호동,l APT밀집지역 l 각종음식점 적합 l 꾸준한상권 l 유동많음 l,90㎡/90㎡(전용률100%),1/5층,즉시입주,,-,돈까스 닭갈비 아구찜 각종요식업,,2519535631,35.12341548609534,126.85568099783912
일반상가1층,"월세3,000/320",광주시 서구 금호동,l 사진有 l 코너자리 l 카페양도 l 순환도로인접 l 복층구조 l,149.24㎡/149.24㎡(전용률100%),1/5층,즉시입주,,-,카페 다이닝펍 레스토랑 한식 일식 각종요식업,,2517996159,35.12341548609534,126.85568099783912
일반상가2층,"월세8,000/350",광주시 서구 금호동,l 풍금사거리 l 대형음식점 l 각종프랜차이즈 적합 l 노출최상 l,230.86㎡/230.86㎡(전용률100%),2/3층,즉시입주,,-,무한리필 초밥 샤브샤브 고기구이 한식 중식,,2517819342,35.12341548609534,126.85568099783912
일반상가5층,"월세2,000/130",광주시 서구 금호동,사진有 l 내부 깔끔 l CBS 인근 l 대로변 l 승강기有,165.29㎡/165.29㎡(전용률100%),5/5층,즉시입주,,공실(빈점포),-,,2519645258,35.12341548609534,126.85568099783912
